order_id,true_case,settlement_ref
order_R100001,CLEAN_MATCH,order_R100001
order_R100002,CLEAN_MATCH,order_R100002
order_R100003,CLEAN_MATCH,order_R100003
order_R100004,CLEAN_MATCH,order_R100004
order_R100005,CLEAN_MATCH,order_R100005
order_R100006,CLEAN_MATCH,order_R100006
order_R100007,CLEAN_MATCH,order_R100007
order_R100008,CLEAN_MATCH,order_R100008
order_R100009,CLEAN_MATCH,order_R100009
order_R100010,CLEAN_MATCH,order_R100010
order_R100011,CLEAN_MATCH,order_R100011
order_R100012,CLEAN_MATCH,order_R100012
order_R100013,CLEAN_MATCH,order_R100013
order_R100014,CLEAN_MATCH,order_R100014
order_R100015,CLEAN_MATCH,order_R100015
order_R100016,CLEAN_MATCH,order_R100016
order_R100017,CLEAN_MATCH,order_R100017
order_R100018,CLEAN_MATCH,order_R100018
order_R100019,CLEAN_MATCH,order_R100019
order_R100020,CLEAN_MATCH,order_R100020
order_R100021,CLEAN_MATCH,order_R100021
order_R100022,CLEAN_MATCH,order_R100022
order_R100023,CLEAN_MATCH,order_R100023
order_R100024,CLEAN_MATCH,order_R100024
order_R100025,CLEAN_MATCH,order_R100025
order_R100026,CLEAN_MATCH,order_R100026
order_R100027,CLEAN_MATCH,order_R100027
order_R100028,CLEAN_MATCH,order_R100028
order_R100029,CLEAN_MATCH,order_R100029
order_R100030,CLEAN_MATCH,order_R100030
order_R100031,CLEAN_MATCH,order_R100031
order_R100032,CLEAN_MATCH,order_R100032
order_R100033,CLEAN_MATCH,order_R100033
order_R100034,CLEAN_MATCH,order_R100034
order_R100035,CLEAN_MATCH,order_R100035
order_R100036,CLEAN_MATCH,order_R100036
order_R100037,CLEAN_MATCH,order_R100037
order_R100038,CLEAN_MATCH,order_R100038
order_R100039,CLEAN_MATCH,order_R100039
order_R100040,CLEAN_MATCH,order_R100040
order_R100041,FUZZY_ID_MATCH,order_R010041
order_R100042,FUZZY_ID_MATCH,order_R100402
order_R100043,FUZZY_ID_MATCH,order_R010043
order_R100044,FUZZY_ID_MATCH,order_R100404
order_R100045,FUZZY_ID_MATCH,order_R010045
order_R100046,FUZZY_ID_MATCH,order_R100406
order_R100047,SPLIT_SETTLEMENT,order_R100047
order_R100049,SPLIT_SETTLEMENT,order_R100049
order_R100051,SPLIT_SETTLEMENT,order_R100051
order_R100053,SPLIT_SETTLEMENT,order_R100053
order_R100055,DUPLICATE_SETTLEMENT,order_R100055
order_R100056,DUPLICATE_SETTLEMENT,order_R100056
order_R100057,DUPLICATE_SETTLEMENT,order_R100057
order_R100058,UNSETTLED_PENDING,
order_R100059,UNSETTLED_PENDING,
order_R100060,UNSETTLED_PENDING,
order_R100061,UNSETTLED_PENDING,
,ORPHAN_SETTLEMENT,order_R100062_refund
,ORPHAN_SETTLEMENT,order_R100063_refund
,ORPHAN_SETTLEMENT,order_R100064_refund
order_R100065,AMOUNT_MISMATCH,order_R100065
order_R100066,AMOUNT_MISMATCH,order_R100066
order_R100067,AMOUNT_MISMATCH,order_R100067
order_R100068,AMOUNT_MISMATCH,order_R100068
order_R100069,STALE_TIMING,order_R100069
order_R100070,STALE_TIMING,order_R100070
order_R100071,STALE_TIMING,order_R100071
order_R100072,STALE_TIMING,order_R100072
