payment_id,utr,settled_amount,fee,tax,settled_at,status
order_R100072,UTR900000072,15416.75,315.79,56.84,2026-09-01,settled
order_R100057,UTR900000057,3521.32,72.13,12.98,2026-08-08,settled
order_R100013,UTR900000013,13315.75,272.75,49.09,2026-08-14,settled
order_R100063_refund,UTR900000063,-1401.1,28.7,5.17,2026-08-16,settled
order_R100015,UTR900000015,21101.78,432.24,77.8,2026-08-20,settled
order_R100051,UTR900000052,5225.76,107.04,19.27,2026-08-05,settled
order_R100062_refund,UTR900000062,-7250.97,148.52,26.73,2026-08-24,settled
order_R100035,UTR900000035,17729.16,363.15,65.37,2026-08-20,settled
order_R100026,UTR900000026,5574.61,114.19,20.55,2026-08-18,settled
order_R100020,UTR900000020,16839.89,344.94,62.09,2026-08-06,settled
order_R100016,UTR900000016,2152.09,44.08,7.93,2026-08-10,settled
order_R100402,UTR900000042,8242.59,168.84,30.39,2026-08-02,settled
order_R100034,UTR900000034,6502.49,133.19,23.97,2026-08-19,settled
order_R100027,UTR900000027,22365.83,458.13,82.46,2026-08-16,settled
order_R100025,UTR900000025,2071.55,42.43,7.64,2026-08-22,settled
order_R010045,UTR900000045,2143.9,43.91,7.9,2026-08-19,settled
order_R100024,UTR900000024,20147.2,412.68,74.28,2026-08-13,settled
order_R100056,UTR900000056,7767.51,159.11,28.64,2026-08-12,settled
order_R100055,UTR900000055,1442.43,29.55,5.32,2026-08-04,settled
order_R100012,UTR900000012,6816.01,139.62,25.13,2026-08-05,settled
order_R100068,UTR900000068,15939.13,336.05,60.49,2026-08-04,settled
order_R100040,UTR900000040,15773.01,323.09,58.16,2026-08-21,settled
order_R100005,UTR900000005,6053.87,124.0,22.32,2026-08-21,settled
order_R100030,UTR900000030,9147.8,187.38,33.73,2026-08-08,settled
order_R100038,UTR900000038,17704.26,362.64,65.28,2026-08-18,settled
order_R010043,UTR900000043,24058.85,492.81,88.71,2026-08-11,settled
order_R100037,UTR900000037,4271.61,87.5,15.75,2026-08-04,settled
order_R100031,UTR900000031,2662.91,54.55,9.82,2026-08-03,settled
order_R100049,UTR900000050,6158.95,126.16,22.71,2026-08-25,settled
order_R100023,UTR900000023,5741.79,117.61,21.17,2026-08-12,settled
order_R100053,UTR900000054,3888.2,79.64,14.34,2026-08-04,settled
order_R100029,UTR900000029,18358.11,376.04,67.69,2026-08-17,settled
order_R100011,UTR900000011,9576.75,196.16,35.31,2026-08-14,settled
order_R100049,UTR900000049,4315.93,88.4,15.91,2026-08-25,settled
order_R100009,UTR900000009,10597.9,217.08,39.07,2026-08-10,settled
order_R100051,UTR900000051,3504.58,71.79,12.92,2026-08-05,settled
order_R100001,UTR900000001,15784.44,323.32,58.2,2026-08-04,settled
order_R100003,UTR900000003,16676.08,341.58,61.48,2026-08-19,settled
order_R100055,UTR900000055,1442.43,29.55,5.32,2026-08-04,settled
order_R100028,UTR900000028,3828.4,78.42,14.12,2026-08-21,settled
order_R100057,UTR900000057,3521.32,72.13,12.98,2026-08-08,settled
order_R100006,UTR900000006,5244.75,107.43,19.34,2026-08-24,settled
order_R100004,UTR900000004,10581.33,216.74,39.01,2026-08-02,settled
order_R100047,UTR900000047,15206.77,311.49,56.07,2026-08-16,settled
order_R100032,UTR900000032,15497.84,317.45,57.14,2026-08-17,settled
order_R100033,UTR900000033,9692.52,198.54,35.74,2026-08-22,settled
order_R100064_refund,UTR900000064,-3635.5,74.47,13.4,2026-08-05,settled
order_R010041,UTR900000041,9432.89,193.22,34.78,2026-08-09,settled
order_R100404,UTR900000044,21491.78,440.22,79.24,2026-08-04,settled
order_R100053,UTR900000053,4085.17,83.68,15.06,2026-08-04,settled
order_R100022,UTR900000022,9565.46,195.93,35.27,2026-08-24,settled
order_R100406,UTR900000046,11857.81,242.89,43.72,2026-08-19,settled
order_R100066,UTR900000066,5348.13,118.63,21.35,2026-08-09,settled
order_R100067,UTR900000067,15778.72,325.13,58.52,2026-08-21,settled
order_R100019,UTR900000019,8986.92,184.08,33.13,2026-08-12,settled
order_R100065,UTR900000065,3884.16,84.72,15.25,2026-08-20,settled
order_R100010,UTR900000010,23386.46,479.03,86.23,2026-08-12,settled
order_R100036,UTR900000036,15821.16,324.07,58.33,2026-08-06,settled
order_R100047,UTR900000048,10597.65,217.08,39.07,2026-08-16,settled
order_R100007,UTR900000007,10523.88,215.56,38.8,2026-08-18,settled
order_R100071,UTR900000071,529.24,10.84,1.95,2026-08-31,settled
order_R100008,UTR900000008,19851.24,406.62,73.19,2026-08-02,settled
order_R100017,UTR900000017,20948.93,429.11,77.24,2026-08-06,settled
order_R100018,UTR900000018,11334.59,232.17,41.79,2026-08-13,settled
order_R100014,UTR900000014,7501.55,153.66,27.66,2026-08-24,settled
order_R100070,UTR900000070,8123.93,166.41,29.95,2026-08-23,settled
order_R100002,UTR900000002,6346.45,130.0,23.4,2026-08-08,settled
order_R100069,UTR900000069,8226.24,168.5,30.33,2026-08-31,settled
order_R100039,UTR900000039,22319.9,457.19,82.29,2026-08-23,settled
order_R100056,UTR900000056,7767.51,159.11,28.64,2026-08-12,settled
order_R100021,UTR900000021,4582.15,93.86,16.89,2026-08-09,settled
