order_id,settlement_ref,resolution,expected_net,actual_net,diff,flag
order_R100069,order_R100069,tier1_clean_match,8226.24,8226.24,0.0,stale_timing
order_R100029,order_R100029,tier1_clean_match,18358.11,18358.11,0.0,
order_R100036,order_R100036,tier1_clean_match,15821.16,15821.16,0.0,
order_R100017,order_R100017,tier1_clean_match,20948.93,20948.93,0.0,
order_R100018,order_R100018,tier1_clean_match,11334.59,11334.59,0.0,
order_R100028,order_R100028,tier1_clean_match,3828.4,3828.4,0.0,
order_R100024,order_R100024,tier1_clean_match,20147.2,20147.2,0.0,
order_R100002,order_R100002,tier1_clean_match,6346.45,6346.45,0.0,
order_R100071,order_R100071,tier1_clean_match,529.24,529.24,0.0,stale_timing
order_R100025,order_R100025,tier1_clean_match,2071.55,2071.55,0.0,
order_R100001,order_R100001,tier1_clean_match,15784.44,15784.44,0.0,
order_R100055,order_R100055,tier1_clean_match,1442.43,1442.43,0.0,
order_R100015,order_R100015,tier1_clean_match,21101.78,21101.78,0.0,
order_R100010,order_R100010,tier1_clean_match,23386.46,23386.46,0.0,
order_R100032,order_R100032,tier1_clean_match,15497.84,15497.84,0.0,
order_R100040,order_R100040,tier1_clean_match,15773.01,15773.01,0.0,
order_R100072,order_R100072,tier1_clean_match,15416.75,15416.75,0.0,stale_timing
order_R100037,order_R100037,tier1_clean_match,4271.61,4271.61,0.0,
order_R100023,order_R100023,tier1_clean_match,5741.79,5741.79,0.0,
order_R100022,order_R100022,tier1_clean_match,9565.46,9565.46,0.0,
order_R100007,order_R100007,tier1_clean_match,10523.88,10523.88,0.0,
order_R100009,order_R100009,tier1_clean_match,10597.9,10597.9,0.0,
order_R100030,order_R100030,tier1_clean_match,9147.8,9147.8,0.0,
order_R100027,order_R100027,tier1_clean_match,22365.83,22365.83,0.0,
order_R100003,order_R100003,tier1_clean_match,16676.08,16676.08,0.0,
order_R100008,order_R100008,tier1_clean_match,19851.24,19851.24,0.0,
order_R100026,order_R100026,tier1_clean_match,5574.61,5574.61,0.0,
order_R100016,order_R100016,tier1_clean_match,2152.09,2152.09,0.0,
order_R100039,order_R100039,tier1_clean_match,22319.9,22319.9,0.0,
order_R100005,order_R100005,tier1_clean_match,6053.87,6053.87,0.0,
order_R100012,order_R100012,tier1_clean_match,6816.01,6816.01,0.0,
order_R100006,order_R100006,tier1_clean_match,5244.75,5244.75,0.0,
order_R100056,order_R100056,tier1_clean_match,7767.51,7767.51,0.0,
order_R100011,order_R100011,tier1_clean_match,9576.75,9576.75,0.0,
order_R100034,order_R100034,tier1_clean_match,6502.49,6502.49,0.0,
order_R100033,order_R100033,tier1_clean_match,9692.52,9692.52,0.0,
order_R100031,order_R100031,tier1_clean_match,2662.91,2662.91,0.0,
order_R100057,order_R100057,tier1_clean_match,3521.32,3521.32,0.0,
order_R100021,order_R100021,tier1_clean_match,4582.15,4582.15,0.0,
order_R100035,order_R100035,tier1_clean_match,17729.16,17729.16,0.0,
order_R100038,order_R100038,tier1_clean_match,17704.26,17704.26,0.0,
order_R100004,order_R100004,tier1_clean_match,10581.33,10581.33,0.0,
order_R100014,order_R100014,tier1_clean_match,7501.55,7501.55,0.0,
order_R100019,order_R100019,tier1_clean_match,8986.92,8986.92,0.0,
order_R100013,order_R100013,tier1_clean_match,13315.75,13315.75,0.0,
order_R100020,order_R100020,tier1_clean_match,16839.89,16839.89,0.0,
order_R100070,order_R100070,tier1_clean_match,8123.93,8123.93,0.0,stale_timing
